# openproj CI durations after the template cache, measured not estimated
#
# Run:     https://github.com/jcanton/openproj/actions/runs/32633361097
# Job:     check, ubuntu-latest, 2026-08-23T10:17:44Z -> 2026-08-23T10:29:52Z (728s)
# Commit:  d979881 on branch ci-speed (PR #72) — the same tree as the run in
#          ci-durations.txt plus the template-compilation cache in render.py and
#          the one regex in test_render.py.
# Command: uv run pytest -q --durations=0 --durations-min=0.05
# Result:  1687 passed, 5 warnings in 711.04s (0:11:51), against 1392.75s before.
#
# The runner, from the probe step in the same job:
#   nproc            2
#   free -m          Mem: 7942 total, 6821 available; Swap: 3071
#   df -h /dev/shm   tmpfs 3.9G
#   google-chrome    151.0.7922.137
# So `ubuntu-latest` on this PRIVATE repository is the 2-core / 8 GB box, not the
# 4-core / 16 GB one public repositories get. `-n auto` here means `-n 2`.
#
# Per-step wall clock from the jobs API (seconds):
#   Set up job 1, checkout 1, setup-uv 3, setup-node 0, uv sync 1, probe 2,
#   ruff 0, pytest 713, post steps 1. Nine seconds is still not pytest.
#
# The table below is verbatim from the run log, timestamps stripped. 732 rows
# summing to 675.79s of the 711.04s pytest reported.
#
# Phase split of those 732 rows: setup 59.26s, call 600.60s, teardown 15.93s.
# Setup was 519.23s before; 460s of it was compiling templates.

============================== slowest durations ===============================
17.98s call     tests/test_render.py::test_the_box_each_view_fills_stops_where_the_window_does[graph]
15.84s call     tests/test_search.py::test_the_box_and_the_server_find_the_same_records
12.98s call     tests/test_render.py::test_the_current_nav_item_is_drawn_and_not_merely_resolved
12.53s call     tests/test_card.py::test_the_three_views_draw_the_same_card
10.98s call     tests/test_render.py::test_the_box_each_view_fills_stops_where_the_window_does[table]
9.75s call     tests/test_deck.py::test_every_deck_this_suite_can_reach_prints_one_slide_to_a_page
9.05s call     tests/test_table.py::test_the_frozen_edge_is_a_pixel_a_browser_draws
8.22s call     tests/test_editor.py::test_the_editor_a_person_chose_is_carried_back_into_the_address
8.19s call     tests/test_render.py::test_the_box_each_view_fills_stops_where_the_window_does[timeline]
6.38s call     tests/test_render.py::test_the_heading_costs_the_view_no_row[graph]
5.13s setup    tests/test_injection.py::test_no_marker_string_reaches_a_served_page_as_anything_but_text
5.08s teardown tests/test_coedit.py::test_one_member_who_stops_reading_freezes_nobody
5.06s teardown tests/test_coedit.py::test_a_room_emptied_by_an_eviction_is_still_committed
5.02s teardown tests/test_coedit.py::test_what_is_held_for_a_member_who_never_reads_is_bounded
4.88s call     tests/test_editor.py::test_a_link_to_the_split_view_opens_in_the_split_view
4.57s call     tests/test_hill.py::test_the_ball_is_painted_where_the_geometry_says
4.52s call     tests/test_graph_layout.py::test_two_boxes_that_wait_on_each_other_are_ranked_by_the_majority
